,mean_H,mean_S,mean_V,stddev_H,stddev_S,stddev_V,entropy_H,entropy_S,entropy_V,Skew_H,Skew_S,Skew_V,Kurtosis_H,Kurtosis_S,Kurtosis_V,label,Color Code,Ripeness Code,Uniformity Code
IMG_20170620_151928.jpg,103.60270015739974,144.26729045589943,188.21118953975224,3.4024166143550714,26.883459954908286,33.01663093047281,2.646975061635751,4.710236913280459,4.844832915475326,-22.497717242184123,0.9182334789329442,-1.622066017348894,691.3214184060391,2.9438079320401114,5.222715529076385,,2,R,W
IMG_20170620_151950.jpg,103.624405763903,147.2461170824936,186.42992090630486,2.951011481567584,29.64331380860154,34.471693670822035,2.5059721947169855,4.806997213026326,4.883787771094261,-18.873711791350395,0.9195894059156013,-1.4167570578673911,699.9462385851134,2.1109666387388817,3.7496744673156126,,2,R,W
IMG_20170620_152004.jpg,103.63230073114718,145.14427683021137,182.69746189663434,1.8065411985878645,27.5468458835535,31.665300651016913,2.0228892066992774,4.734628505663284,4.831500906527767,-3.2638609048841047,1.016291632521352,-1.2254912934310669,325.01676064769157,2.3324403255911985,2.98903419149989,,2,R,W
IMG_20170620_152014.jpg,103.52418230899822,146.5024727967942,189.7836334538893,2.3159729804174805,25.514072669011775,30.500327878009948,2.266458496325278,4.657954311347181,4.779779297326036,-19.91127470815694,0.7819310525028729,-1.549271705091964,928.8364884391483,2.1410560883989644,5.035495668055507,,2,R,W
IMG_20170620_152017.jpg,103.60851468803867,147.498322582892,186.89371148002624,1.712093213476697,26.35378963469055,30.743146767517846,1.970645851970176,4.690527117257127,4.795955297792975,-2.2446403480741557,0.8397533852090983,-1.1991129013555872,245.22030654775878,1.980833563234751,2.992257580360265,,2,R,W
IMG_20170620_152028.jpg,103.7689524943107,145.66996893665996,187.77793788438606,2.9112009535463867,29.789042379451658,35.8430730654834,2.492383749522057,4.812098916031983,4.905429908178714,-17.424242118431568,1.097991934678616,-1.5230815176710726,665.3007674473741,2.4131475039775943,3.9489132557042756,,2,R,W
IMG_20170620_152031.jpg,103.70406350734532,147.02347838780486,183.4522593177001,2.12460972321441,28.676137793350915,33.75688947804229,2.1817714404407056,4.774317866045232,4.878892649807282,-10.587041401257475,1.0340555553579431,-1.2357789132542738,605.5617992458606,2.2264634184383887,2.8648164237172136,,2,R,W
IMG_20170620_152045.jpg,103.47374116009728,143.7229833727809,191.79821620136752,1.6142086924428174,24.79359766004301,29.176303754659735,1.9130992270186364,4.629861168009322,4.738922691555309,-4.527895519218402,0.7258380071407314,-1.489908232677321,405.3373108364671,1.9525651217807445,4.460087733485689,,2,R,W
IMG_20170620_152048.jpg,103.57375045241034,147.15905290987726,188.08936593226474,2.606708545029696,28.11892897527498,34.15632228186432,2.383270788283806,4.755142867473609,4.8702242310302255,-17.27743969193686,1.0392013613274926,-1.5210462149126107,751.9350519140828,2.498352439349362,4.119657343965138,,2,R,W
IMG_20170620_152104.jpg,103.85646793810245,145.93379812799762,185.1107498880366,2.1077454923445265,27.549035547104125,32.74344978774404,2.174093590266895,4.734513853889047,4.850655839560055,-11.680806135490466,0.9593307362036941,-1.2248517804295633,658.8525717679869,2.3204423182163696,3.1397774948378627,,2,R,W
IMG_20170620_152115.jpg,103.76941710996371,148.7743277149828,184.72124151161034,2.394214754826717,29.217603399223492,36.25653627071711,2.2993888170793215,4.792889534676002,4.926238736873875,-11.677749071847872,1.1406583200498466,-1.2801437690456905,587.4880048571632,2.4005461293068384,2.9421033483184242,,2,R,W
IMG_20170620_152119.jpg,103.78164537083327,149.34856808873232,183.83219132270463,2.1459252882536277,29.855592200461018,35.96551878684468,2.1914683515454962,4.813652807782793,4.924170928718015,-3.85643379394761,1.1148834432094938,-1.1847309723061887,311.78270286508075,2.177698651514521,2.471478042737881,,2,R,W
IMG_20170620_152129.jpg,103.7120092486994,147.55548340858317,187.03706737854574,1.882595292471752,26.950299668591995,32.08080768188438,2.0634936377039104,4.712485806412446,4.827980768165804,-3.1654370163319734,0.9708820349588637,-1.227547283099242,286.8862634412566,2.2583796338389774,2.965196120011334,,2,R,W
IMG_20170620_152133.jpg,103.74868825412572,148.82838668195097,183.80382340439107,2.0183255106121947,29.261484693084277,34.102636174510856,2.1309655235369034,4.794083594552303,4.885401083308471,-2.5482170605897925,1.0041245177349154,-1.1218691472924724,251.65820282692167,1.9975026312509998,2.4196409879964156,,2,R,W
IMG_20170620_152143.jpg,103.84079794117494,145.57824835504903,186.03016478476985,2.5339832465562546,28.36525026279724,35.80185934447886,2.3550135044122182,4.763843981461541,4.91228115505371,-10.141658499151315,1.1384454311250707,-1.343673297839203,548.9896271801794,2.4986740067531814,3.068775829473238,,2,R,W
IMG_20170620_152146.jpg,103.65843532094445,145.23089485788458,182.96445551927593,2.0914764078966757,28.776911188582506,34.383149353344365,2.166008408373608,4.778075757212794,4.894423211148612,-3.3606157199942635,1.0832145987442328,-1.226600768862563,311.6836461142933,2.2400260295771153,2.600006367382621,,2,R,W
